Autofocus,Aspherical Elements,Diaphragm Blades,ED Glass Elements,Filter Size,Format,Lens Elements,Lens Groups,Maximum Aperture,Maximum Reproduction Ratio,Minimum Focus Distance,Price,VR,Url,Zoom Ratio,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Focal Length Diff,Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),Max. Aperture Diff,Focal Length Label,Maximum Aperture Label,name,Lens Type,Focal Length Group,Weight (lbs.),Price Range
Yes,,9,3,82,FX,14,9,1.4,0.13x,1.0 m (3.3 ft.) from focal plane,1899.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-105mm-f%252f1.4e-ed.html,,3.7,4.2,34.8,105,105,0,1.4,1.4,16.0,16.0,0.0,105mm,f/1.4,105mm f/1.4,Prime,Short Telephoto,2.175,$1 - 2k
Yes,,9,,72,FX,6,6,2,0.13x,"3.0,0.9",1199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-dc-nikkor-105mm-f%252f2d.html,,3.1,4.4,21.87,105,105,0,2.0,2.0,16.0,16.0,0.0,105mm,f/2.0,105mm f/2.0,Prime,Short Telephoto,1.366875,$1 - 2k
No,,9,,52,FX,10,9,2.8,,"1.34,0.41",775.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/micro-nikkor-105mm-f%252f2.8.html,,2.6,3.3,18.2,105,105,0,2.8,2.8,32.0,32.0,0.0,105mm,f/2.8,105mm f/2.8,Prime,Short Telephoto,1.1375,$500 - $1k
Yes,,9,1,62,FX,14,12,2.8,1.0x,"1.0,0.314",809.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-vr-micro-nikkor-105mm-f%252f2.8g-if-ed.html,,3.3,4.6,25.4,105,105,0,2.8,2.8,32.0,32.0,0.0,105mm,f/2.8,105mm f/2.8,Prime,Short Telephoto,1.5875,$500 - $1k
Yes,,9,1,112,FX,25,19,2.8,0.16x,6.56 ft. (2.0 m) from focal plane at all zoom positions,9499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-120-300mm-f%252f2.8e-fl-ed-sr-vr.html,2.5,5.1,12.0,114.6,120,300,180,2.8,2.8,22.0,22.0,0.0,120 - 300mm,f/2.8,120 - 300mm f/2.8,Zoom,Super Telephoto,7.1625,$5 - 10k
Yes,,9,,72,FX,7,6,2,0.48x,"4.0,1.1",1394.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-dc-nikkor-135mm-f%252f2d.html,,3.1,4.7,28.7,135,135,0,2.0,2.0,16.0,16.0,0.0,135mm,f/2.0,135mm f/2.0,Prime,Medium Telephoto,1.79375,$1 - 2k
Yes,,9,8,40.5,FX,27,19,4,"0.25x (at 400 mm),0.36x (at 560 mm)",6.6 ft. (2.0 m) from focal plane,12399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-180-400mm-f%252f4e-tc1.4-fl-ed-vr.html,2.2,5.0,14.2,123.4,180,400,220,4.0,4.0,32.0,32.0,0.0,180 - 400mm,f/4.0,180 - 400mm f/4.0,Zoom,Super Telephoto,7.7125,$10k+
Yes,,9,1,72,FX,8,6,2.8,0.15x,"5.0,1.5",1004.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-180mm-f%252f2.8d-if-ed.html,,3.1,5.7,26.8,180,180,0,2.8,2.8,22.0,22.0,0.0,180mm,f/2.8,180mm f/2.8,Prime,Medium Telephoto,1.675,$1 - 2k
Yes,,9,3,95,FX,19,12,5.6,0.22x,"7.2,2.2",1259.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200-500mm-f%252f5.6e-ed-vr.html,2.5,4.2,10.5,81.2,200,500,300,5.6,5.6,32.0,32.0,0.0,200 - 500mm,f/5.6,200 - 500mm f/5.6,Zoom,Super Telephoto,5.075,$1 - 2k
Yes,,9,4,52,FX,24,17,4,0.27x,"6.6,2.0,6.4,1.95",6999.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-200-400mm-f%252f4g-ed-vr-ii.html,2.0,4.9,14.4,118.5,200,400,200,4.0,4.0,32.0,32.0,0.0,200 - 400mm,f/4.0,200 - 400mm f/4.0,Zoom,Super Telephoto,7.40625,$5 - 10k
