index,Autofocus,Format,Lens Elements,Lens Groups,Price,VR,Url,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),name,Lens Type,Focal Length Group,Max. Aperture,Focal Length
23,Yes,FX,12,8,$749.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-18-35mm-f%252f3.5-4.5g-ed.html,3.3,3.7,13.6,18.0,35.0,3.5,4.5,22.0,29.0,18-35mm f3.5-4.5,Zoom,Standard,4.5,35.0
24,No,FX,17,13,"$3,399.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-nikkor-19mm-f%252f4e-ed.html,3.5,4.8,31.2,19.0,19.0,4.0,4.0,32.0,32.0,19mm f4,Prime,Ultra Wide Angle,4.0,19.0
24,No,FX,17,13,"$3,399.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-nikkor-19mm-f%252f4e-ed.html,3.5,4.8,31.2,19.0,19.0,4.0,4.0,32.0,32.0,19mm f4,Prime,Ultra Wide Angle,4.0,19.0
25,Yes,FX,13,11,$799.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-20mm-f%252f1.8g-ed.html,3.2,3.1,12.6,20.0,20.0,1.8,1.8,16.0,16.0,20mm f1.8,Prime,Ultra Wide Angle,1.8,20.0
25,Yes,FX,13,11,$799.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-20mm-f%252f1.8g-ed.html,3.2,3.1,12.6,20.0,20.0,1.8,1.8,16.0,16.0,20mm f1.8,Prime,Ultra Wide Angle,1.8,20.0
26,Yes,FX,12,9,$624.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-20mm-f%252f2.8d.html,2.7,1.7,9.5,20.0,20.0,2.8,2.8,22.0,22.0,20mm f2.8,Prime,Ultra Wide Angle,2.8,20.0
26,Yes,FX,12,9,$624.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-20mm-f%252f2.8d.html,2.7,1.7,9.5,20.0,20.0,2.8,2.8,22.0,22.0,20mm f2.8,Prime,Ultra Wide Angle,2.8,20.0
27,No,FX,12,9,$674.75,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-20mm-f%252f2.8.html,2.6,1.7,9.5,20.0,20.0,2.8,2.8,22.0,22.0,20mm f2.8,Prime,Ultra Wide Angle,2.8,20.0
27,No,FX,12,9,$674.75,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-20mm-f%252f2.8.html,2.6,1.7,9.5,20.0,20.0,2.8,2.8,22.0,22.0,20mm f2.8,Prime,Ultra Wide Angle,2.8,20.0
28,Yes,FX,17,13,"$1,099.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-120mm-f%252f4g-ed-vr.html,3.3,4.1,25.0,24.0,120.0,4.0,4.0,22.0,22.0,24-120mm f4,Zoom,Short Telephoto,4.0,24.0
28,Yes,FX,17,13,"$1,099.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-120mm-f%252f4g-ed-vr.html,3.3,4.1,25.0,24.0,120.0,4.0,4.0,22.0,22.0,24-120mm f4,Zoom,Short Telephoto,4.0,120.0
29,Yes,FX,15,11,$744.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-zoom-nikkor-24-85mm-f%252f2.8-4d-if.html,3.1,3.2,19.2,24.0,85.0,2.8,4.0,22.0,22.0,24-85mm f2.8-4,Zoom,Short Telephoto,2.8,24.0
29,Yes,FX,15,11,$744.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-zoom-nikkor-24-85mm-f%252f2.8-4d-if.html,3.1,3.2,19.2,24.0,85.0,2.8,4.0,22.0,22.0,24-85mm f2.8-4,Zoom,Short Telephoto,4.0,85.0
30,Yes,FX,16,11,$499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-85mm-f%252f3.5-4.5g-ed-vr.html,3.1,3.2,16.4,24.0,85.0,3.5,4.5,22.0,29.0,24-85mm f3.5-4.5,Zoom,Short Telephoto,3.5,24.0
30,Yes,FX,16,11,$499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-85mm-f%252f3.5-4.5g-ed-vr.html,3.1,3.2,16.4,24.0,85.0,3.5,4.5,22.0,29.0,24-85mm f3.5-4.5,Zoom,Short Telephoto,4.5,85.0
31,Yes,FX,15,11,"$1,799.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-70mm-f2.8g-ed.html,3.3,5.2,31.7,24.0,70.0,2.8,2.8,22.0,22.0,24-70mm f2.8,Zoom,Standard,2.8,24.0
31,Yes,FX,15,11,"$1,799.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-70mm-f2.8g-ed.html,3.3,5.2,31.7,24.0,70.0,2.8,2.8,22.0,22.0,24-70mm f2.8,Zoom,Standard,2.8,70.0
32,Yes,FX,20,16,"$2,399.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-70mm-f%252f2.8e-ed-vr.html,3.4,6.0,38.4,24.0,70.0,2.8,2.8,22.0,22.0,24-70mm f2.8,Zoom,Standard,2.8,24.0
32,Yes,FX,20,16,"$2,399.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24-70mm-f%252f2.8e-ed-vr.html,3.4,6.0,38.4,24.0,70.0,2.8,2.8,22.0,22.0,24-70mm f2.8,Zoom,Standard,2.8,70.0
33,Yes,FX,12,10,"$1,999.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24mm-f%252f1.4g-ed.html,3.3,3.5,21.9,24.0,24.0,1.4,1.4,16.0,16.0,24mm f1.4,Prime,Wide Angle,1.4,24.0
33,Yes,FX,12,10,"$1,999.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24mm-f%252f1.4g-ed.html,3.3,3.5,21.9,24.0,24.0,1.4,1.4,16.0,16.0,24mm f1.4,Prime,Wide Angle,1.4,24.0
34,Yes,FX,12,9,$749.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24mm-f%252f1.8g-ed.html,3.1,3.3,12.6,24.0,24.0,1.8,1.8,16.0,16.0,24mm f1.8,Prime,Wide Angle,1.8,24.0
34,Yes,FX,12,9,$749.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-24mm-f%252f1.8g-ed.html,3.1,3.3,12.6,24.0,24.0,1.8,1.8,16.0,16.0,24mm f1.8,Prime,Wide Angle,1.8,24.0
35,Yes,FX,9,9,$394.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-24mm-f%252f2.8d.html,2.5,1.8,9.5,24.0,24.0,2.8,2.8,22.0,22.0,24mm f2.8,Prime,Wide Angle,2.8,24.0
35,Yes,FX,9,9,$394.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-24mm-f%252f2.8d.html,2.5,1.8,9.5,24.0,24.0,2.8,2.8,22.0,22.0,24mm f2.8,Prime,Wide Angle,2.8,24.0
36,No,FX,9,9,$539.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-24mm-f%252f2.8.html,2.5,1.8,9.7,24.0,24.0,2.8,2.8,22.0,22.0,24mm f2.8,Prime,Wide Angle,2.8,24.0
36,No,FX,9,9,$539.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-24mm-f%252f2.8.html,2.5,1.8,9.7,24.0,24.0,2.8,2.8,22.0,22.0,24mm f2.8,Prime,Wide Angle,2.8,24.0
37,No,FX,13,10,"$2,199.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-e-nikkor-24mm-f3.5d-ed.html,3.2,4.3,25.7,24.0,24.0,3.5,3.5,32.0,32.0,24mm f3.5,Prime,Wide Angle,3.5,24.0
37,No,FX,13,10,"$2,199.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-e-nikkor-24mm-f3.5d-ed.html,3.2,4.3,25.7,24.0,24.0,3.5,3.5,32.0,32.0,24mm f3.5,Prime,Wide Angle,3.5,24.0
38,Yes,FX,19,14,$949.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28-300mm-f%252f3.5-5.6g-ed-vr.html,3.26,4.5,28.2,28.0,300.0,3.5,5.6,22.0,22.0,28-300mm f3.5-5.6,Zoom,Super Telephoto,3.5,28.0
38,Yes,FX,19,14,$949.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28-300mm-f%252f3.5-5.6g-ed-vr.html,3.26,4.5,28.2,28.0,300.0,3.5,5.6,22.0,22.0,28-300mm f3.5-5.6,Zoom,Super Telephoto,5.6,300.0
39,Yes,FX,14,11,"$1,999.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28mm-f%252f1.4e-ed.html,3.2,3.9,22.8,28.0,28.0,1.4,1.4,16.0,16.0,28mm f1.4,Prime,Wide Angle,1.4,28.0
39,Yes,FX,14,11,"$1,999.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28mm-f%252f1.4e-ed.html,3.2,3.9,22.8,28.0,28.0,1.4,1.4,16.0,16.0,28mm f1.4,Prime,Wide Angle,1.4,28.0
40,Yes,FX,11,9,$699.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28mm-f%252f1.8g.html,2.9,3.2,11.6,28.0,28.0,1.8,1.8,16.0,16.0,28mm f1.8,Prime,Wide Angle,1.8,28.0
40,Yes,FX,11,9,$699.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-28mm-f%252f1.8g.html,2.9,3.2,11.6,28.0,28.0,1.8,1.8,16.0,16.0,28mm f1.8,Prime,Wide Angle,1.8,28.0
41,Yes,FX,6,6,$289.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-28mm-f%252f2.8d.html,2.6,1.8,7.2,28.0,28.0,2.8,2.8,22.0,22.0,28mm f2.8,Prime,Wide Angle,2.8,28.0
41,Yes,FX,6,6,$289.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-28mm-f%252f2.8d.html,2.6,1.8,7.2,28.0,28.0,2.8,2.8,22.0,22.0,28mm f2.8,Prime,Wide Angle,2.8,28.0
42,No,FX,8,8,$539.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-28mm-f%252f2.8.html,2.5,1.8,8.8,28.0,28.0,2.8,2.8,22.0,22.0,28mm f2.8,Prime,Wide Angle,2.8,28.0
42,No,FX,8,8,$539.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-28mm-f%252f2.8.html,2.5,1.8,8.8,28.0,28.0,2.8,2.8,22.0,22.0,28mm f2.8,Prime,Wide Angle,2.8,28.0
43,No,FX,9,7,"$1,164.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-35mm-f%252f1.4.html,2.7,2.4,14.1,35.0,35.0,1.4,1.4,16.0,16.0,35mm f1.4,Prime,Standard,1.4,35.0
43,No,FX,9,7,"$1,164.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-35mm-f%252f1.4.html,2.7,2.4,14.1,35.0,35.0,1.4,1.4,16.0,16.0,35mm f1.4,Prime,Standard,1.4,35.0
44,Yes,FX,10,7,"$1,699.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-35mm-f%252f1.4g.html,3.27,3.52,21.2,35.0,35.0,1.4,1.4,16.0,16.0,35mm f1.4,Prime,Standard,1.4,35.0
44,Yes,FX,10,7,"$1,699.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-35mm-f%252f1.4g.html,3.27,3.52,21.2,35.0,35.0,1.4,1.4,16.0,16.0,35mm f1.4,Prime,Standard,1.4,35.0
45,Yes,DX,8,6,$199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-35mm-f%252f1.8g.html,2.8,2.1,7.0,35.0,35.0,1.8,1.8,22.0,22.0,35mm f1.8,Prime,Standard,1.8,35.0
45,Yes,DX,8,6,$199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-35mm-f%252f1.8g.html,2.8,2.1,7.0,35.0,35.0,1.8,1.8,22.0,22.0,35mm f1.8,Prime,Standard,1.8,35.0
46,Yes,FX,11,8,$529.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-35mm-f%252f1.8g-ed.html,2.83,2.81,10.7,35.0,35.0,1.8,1.8,16.0,16.0,35mm f1.8,Prime,Standard,1.8,35.0
46,Yes,FX,11,8,$529.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-35mm-f%252f1.8g-ed.html,2.83,2.81,10.7,35.0,35.0,1.8,1.8,16.0,16.0,35mm f1.8,Prime,Standard,1.8,35.0
47,Yes,FX,6,5,$389.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-35mm-f%252f2d.html,2.5,1.7,7.2,35.0,35.0,2.0,2.0,22.0,22.0,35mm f2,Prime,Standard,2.0,35.0
47,Yes,FX,6,5,$389.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-35mm-f%252f2d.html,2.5,1.7,7.2,35.0,35.0,2.0,2.0,22.0,22.0,35mm f2,Prime,Standard,2.0,35.0
48,Yes,DX,9,7,$279.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-micro-nikkor-40mm-f%252f2.8g.html,2.7,2.5,8.3,40.0,40.0,2.8,2.8,22.0,22.0,40mm f2.8,Prime,Standard,2.8,40.0
48,Yes,DX,9,7,$279.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-micro-nikkor-40mm-f%252f2.8g.html,2.7,2.5,8.3,40.0,40.0,2.8,2.8,22.0,22.0,40mm f2.8,Prime,Standard,2.8,40.0
49,No,FX,9,8,"$2,049.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-e-micro-nikkor-45mm-f%252f2.8d-ed.html,3.2,4.4,26.1,45.0,45.0,2.8,2.8,32.0,32.0,45mm f2.8,Prime,Standard,2.8,45.0
49,No,FX,9,8,"$2,049.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/pc-e-micro-nikkor-45mm-f%252f2.8d-ed.html,3.2,4.4,26.1,45.0,45.0,2.8,2.8,32.0,32.0,45mm f2.8,Prime,Standard,2.8,45.0
50,No,FX,7,6,$724.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-50mm-f%252f1.2.html,2.7,1.9,12.7,50.0,50.0,1.2,1.2,16.0,16.0,50mm f1.2,Prime,Standard,1.2,50.0
50,No,FX,7,6,$724.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-50mm-f%252f1.2.html,2.7,1.9,12.7,50.0,50.0,1.2,1.2,16.0,16.0,50mm f1.2,Prime,Standard,1.2,50.0
51,Yes,FX,7,6,$369.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-50mm-f%252f1.4d.html,2.5,1.7,8.1,50.0,50.0,1.4,1.4,16.0,16.0,50mm f1.4,Prime,Standard,1.4,50.0
51,Yes,FX,7,6,$369.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-50mm-f%252f1.4d.html,2.5,1.7,8.1,50.0,50.0,1.4,1.4,16.0,16.0,50mm f1.4,Prime,Standard,1.4,50.0
52,Yes,FX,8,7,$449.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-50mm-f1.4g.html,2.9,2.1,9.9,50.0,50.0,1.4,1.4,16.0,16.0,50mm f1.4,Prime,Standard,1.4,50.0
52,Yes,FX,8,7,$449.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-50mm-f1.4g.html,2.9,2.1,9.9,50.0,50.0,1.4,1.4,16.0,16.0,50mm f1.4,Prime,Standard,1.4,50.0
53,No,FX,7,6,$469.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-50mm-f%252f1.4.html,2.5,1.6,8.8,50.0,50.0,1.4,1.4,16.0,16.0,50mm f1.4,Prime,Standard,1.4,50.0
53,No,FX,7,6,$469.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/nikkor-50mm-f%252f1.4.html,2.5,1.6,8.8,50.0,50.0,1.4,1.4,16.0,16.0,50mm f1.4,Prime,Standard,1.4,50.0
54,Yes,FX,6,5,$134.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-50mm-f%252f1.8d.html,2.5,1.5,5.5,50.0,50.0,1.8,1.8,22.0,22.0,50mm f1.8,Prime,Standard,1.8,50.0
54,Yes,FX,6,5,$134.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-50mm-f%252f1.8d.html,2.5,1.5,5.5,50.0,50.0,1.8,1.8,22.0,22.0,50mm f1.8,Prime,Standard,1.8,50.0
55,Yes,FX,7,6,$219.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-50mm-f%252f1.8g.html,2.8,2.1,6.6,50.0,50.0,1.8,1.8,16.0,16.0,50mm f1.8,Prime,Standard,1.8,50.0
55,Yes,FX,7,6,$219.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-50mm-f%252f1.8g.html,2.8,2.1,6.6,50.0,50.0,1.8,1.8,16.0,16.0,50mm f1.8,Prime,Standard,1.8,50.0
56,Yes,FX,7,6,$279.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-50mm-f%252f1.8g-special-edition.html,2.8,2.0,6.7,50.0,50.0,1.8,1.8,16.0,16.0,50mm f1.8,Prime,Standard,1.8,50.0
56,Yes,FX,7,6,$279.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-50mm-f%252f1.8g-special-edition.html,2.8,2.0,6.7,50.0,50.0,1.8,1.8,16.0,16.0,50mm f1.8,Prime,Standard,1.8,50.0
57,Yes,DX,17,11,$399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-55-300mm-f%252f4.5-5.6g-ed-vr.html,3.0,4.8,18.7,55.0,300.0,4.5,5.6,22.0,22.0,55-300mm f4.5-5.6,Zoom,Super Telephoto,4.5,55.0
57,Yes,DX,17,11,$399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-55-300mm-f%252f4.5-5.6g-ed-vr.html,3.0,4.8,18.7,55.0,300.0,4.5,5.6,22.0,22.0,55-300mm f4.5-5.6,Zoom,Super Telephoto,5.6,300.0
58,Yes,DX,13,9,$149.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-55-200mm-f%252f4-5.6g-ed-vr-ii.html,2.7,3.2,10.6,55.0,200.0,4.0,5.6,22.0,32.0,55-200mm f4-5.6,Zoom,Medium Telephoto,4.0,55.0
58,Yes,DX,13,9,$149.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-55-200mm-f%252f4-5.6g-ed-vr-ii.html,2.7,3.2,10.6,55.0,200.0,4.0,5.6,22.0,32.0,55-200mm f4-5.6,Zoom,Medium Telephoto,5.6,200.0
59,Yes,DX,13,9,$199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-55-200mm-f%252f4-5.6g-ed.html,2.7,3.1,9.0,55.0,200.0,4.0,5.6,22.0,22.0,55-200mm f4-5.6,Zoom,Medium Telephoto,4.0,55.0
59,Yes,DX,13,9,$199.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-55-200mm-f%252f4-5.6g-ed.html,2.7,3.1,9.0,55.0,200.0,4.0,5.6,22.0,22.0,55-200mm f4-5.6,Zoom,Medium Telephoto,5.6,200.0
60,Yes,DX,15,11,$249.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-vr-zoom-nikkor-ed-55-200mm-f4-5.6g.html,2.9,3.9,11.8,55.0,200.0,4.0,5.6,22.0,22.0,55-200mm f4-5.6,Zoom,Medium Telephoto,4.0,55.0
60,Yes,DX,15,11,$249.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-vr-zoom-nikkor-ed-55-200mm-f4-5.6g.html,2.9,3.9,11.8,55.0,200.0,4.0,5.6,22.0,22.0,55-200mm f4-5.6,Zoom,Medium Telephoto,5.6,200.0
61,No,FX,6,5,$409.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/micro-nikkor-55mm-f%252f2.8.html,2.5,2.4,10.2,55.0,55.0,2.8,2.8,32.0,32.0,55mm f2.8,Prime,Standard,2.8,55.0
61,No,FX,6,5,$409.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/micro-nikkor-55mm-f%252f2.8.html,2.5,2.4,10.2,55.0,55.0,2.8,2.8,32.0,32.0,55mm f2.8,Prime,Standard,2.8,55.0
62,Yes,FX,9,6,"$1,599.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-58mm-f%252f1.4g.html,3.3,2.7,13.6,58.0,58.0,1.4,1.4,16.0,16.0,58mm f1.4,Prime,Standard,1.4,58.0
62,Yes,FX,9,6,"$1,599.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-58mm-f%252f1.4g.html,3.3,2.7,13.6,58.0,58.0,1.4,1.4,16.0,16.0,58mm f1.4,Prime,Standard,1.4,58.0
63,Yes,FX,8,7,$519.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-micro-nikkor-60mm-f%252f2.8d.html,2.8,2.9,15.5,60.0,60.0,2.8,2.8,32.0,32.0,60mm f2.8,Prime,Standard,2.8,60.0
63,Yes,FX,8,7,$519.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-micro-nikkor-60mm-f%252f2.8d.html,2.8,2.9,15.5,60.0,60.0,2.8,2.8,32.0,32.0,60mm f2.8,Prime,Standard,2.8,60.0
64,Yes,FX,12,9,$599.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-micro-nikkor-60mm-f2.8g-ed.html,2.9,3.5,15.0,60.0,60.0,2.8,2.8,32.0,32.0,60mm f2.8,Prime,Standard,2.8,60.0
64,Yes,FX,12,9,$599.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-micro-nikkor-60mm-f2.8g-ed.html,2.9,3.5,15.0,60.0,60.0,2.8,2.8,32.0,32.0,60mm f2.8,Prime,Standard,2.8,60.0
65,Yes,FX,13,9,$172.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-zoom-nikkor-70-300mm-f%252f4-5.6g.html,2.9,4.6,15.0,70.0,300.0,4.0,5.6,32.0,32.0,70-300mm f4-5.6,Zoom,Super Telephoto,4.0,70.0
65,Yes,FX,13,9,$172.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-zoom-nikkor-70-300mm-f%252f4-5.6g.html,2.9,4.6,15.0,70.0,300.0,4.0,5.6,32.0,32.0,70-300mm f4-5.6,Zoom,Super Telephoto,5.6,300.0
66,Yes,DX,14,10,$349.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-70-300mm-f%252f4.5-6.3g-ed.html,2.8,4.9,14.2,70.0,300.0,4.5,6.3,32.0,32.0,70-300mm f4.5-6.3,Zoom,Super Telephoto,4.5,70.0
66,Yes,DX,14,10,$349.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-70-300mm-f%252f4.5-6.3g-ed.html,2.8,4.9,14.2,70.0,300.0,4.5,6.3,32.0,32.0,70-300mm f4.5-6.3,Zoom,Super Telephoto,6.3,300.0
67,Yes,DX,14,10,$399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-70-300mm-f%252f4.5-6.3g-ed-vr.html,2.8,4.9,14.7,70.0,300.0,4.5,6.3,32.0,32.0,70-300mm f4.5-6.3,Zoom,Super Telephoto,4.5,70.0
67,Yes,DX,14,10,$399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-70-300mm-f%252f4.5-6.3g-ed-vr.html,2.8,4.9,14.7,70.0,300.0,4.5,6.3,32.0,32.0,70-300mm f4.5-6.3,Zoom,Super Telephoto,6.3,300.0
68,Yes,FX,17,12,$499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-vr-zoom-nikkor-70-300mm-f%252f4.5-5.6g-if-ed.html,3.1,5.6,26.3,70.0,300.0,4.5,5.6,32.0,32.0,70-300mm f4.5-5.6,Zoom,Super Telephoto,4.5,70.0
68,Yes,FX,17,12,$499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-vr-zoom-nikkor-70-300mm-f%252f4.5-5.6g-if-ed.html,3.1,5.6,26.3,70.0,300.0,4.5,5.6,32.0,32.0,70-300mm f4.5-5.6,Zoom,Super Telephoto,5.6,300.0
69,Yes,FX,18,14,$599.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-nikkor-70-300mm-f%252f4.5-5.6e-ed-vr.html,3.2,5.7,24.0,70.0,300.0,4.5,5.6,32.0,40.0,70-300mm f4.5-5.6,Zoom,Super Telephoto,4.5,70.0
69,Yes,FX,18,14,$599.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-nikkor-70-300mm-f%252f4.5-5.6e-ed-vr.html,3.2,5.7,24.0,70.0,300.0,4.5,5.6,32.0,40.0,70-300mm f4.5-5.6,Zoom,Super Telephoto,5.6,300.0
70,Yes,FX,21,16,"$2,099.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-70-200mm-f%252f2.8g-ed-vr-ii.html,3.4,8.1,54.3,70.0,200.0,2.8,2.8,22.0,22.0,70-200mm f2.8,Zoom,Medium Telephoto,2.8,70.0
70,Yes,FX,21,16,"$2,099.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-70-200mm-f%252f2.8g-ed-vr-ii.html,3.4,8.1,54.3,70.0,200.0,2.8,2.8,22.0,22.0,70-200mm f2.8,Zoom,Medium Telephoto,2.8,200.0
71,Yes,FX,22,18,"$2,799.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-70-200mm-f%252f2.8e-fl-ed-vr.html,3.4,7.9,50.5,70.0,200.0,2.8,2.8,22.0,22.0,70-200mm f2.8,Zoom,Medium Telephoto,2.8,70.0
71,Yes,FX,22,18,"$2,799.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-70-200mm-f%252f2.8e-fl-ed-vr.html,3.4,7.9,50.5,70.0,200.0,2.8,2.8,22.0,22.0,70-200mm f2.8,Zoom,Medium Telephoto,2.8,200.0
