index,Autofocus,Format,Lens Elements,Lens Groups,Price,VR,Url,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),name,Lens Type,Focal Length Group,Max. Aperture,Focal Length
93,Yes,FX,10,6,"$1,494.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f%252f4d-if-ed.html,3.5,8.8,50.8,300.0,300.0,4.0,4.0,32.0,32.0,300mm f4,Prime,Super Telephoto,4.0,300.0
93,Yes,FX,10,6,"$1,494.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f%252f4d-if-ed.html,3.5,8.8,50.8,300.0,300.0,4.0,4.0,32.0,32.0,300mm f4,Prime,Super Telephoto,4.0,300.0
94,Yes,FX,16,10,"$1,999.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f%252f4e-pf-ed-vr.html,3.5,5.8,26.6,300.0,300.0,4.0,4.0,32.0,32.0,300mm f4,Prime,Super Telephoto,4.0,300.0
94,Yes,FX,16,10,"$1,999.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-300mm-f%252f4e-pf-ed-vr.html,3.5,5.8,26.6,300.0,300.0,4.0,4.0,32.0,32.0,300mm f4,Prime,Super Telephoto,4.0,300.0
95,Yes,FX,16,12,"$11,199.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-400mm-f%252f2.8e-fl-ed-vr.html,6.3,14.09,134.0,400.0,400.0,2.8,2.8,22.0,22.0,400mm f2.8,Prime,Super Telephoto,2.8,400.0
95,Yes,FX,16,12,"$11,199.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-400mm-f%252f2.8e-fl-ed-vr.html,6.3,14.09,134.0,400.0,400.0,2.8,2.8,22.0,22.0,400mm f2.8,Prime,Super Telephoto,2.8,400.0
96,Yes,FX,16,12,"$10,299.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-500mm-f%252f4e-fl-ed-vr.html,5.5,15.2,109.0,500.0,500.0,4.0,4.0,22.0,22.0,500mm f4,Prime,Super Telephoto,4.0,500.0
96,Yes,FX,16,12,"$10,299.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-500mm-f%252f4e-fl-ed-vr.html,5.5,15.2,109.0,500.0,500.0,4.0,4.0,22.0,22.0,500mm f4,Prime,Super Telephoto,4.0,500.0
97,Yes,FX,16,12,"$12,299.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-600mm-f%252f4e-fl-ed-vr.html,6.5,17.0,134.4,600.0,600.0,4.0,4.0,22.0,22.0,600mm f4,Prime,Super Telephoto,4.0,600.0
97,Yes,FX,16,12,"$12,299.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-600mm-f%252f4e-fl-ed-vr.html,6.5,17.0,134.4,600.0,600.0,4.0,4.0,22.0,22.0,600mm f4,Prime,Super Telephoto,4.0,600.0
98,Yes,FX,20,13,"$16,299.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-800mm-f%252f5.6e-fl-ed-vr.html,6.3,18.2,161.6,800.0,800.0,5.6,5.6,32.0,32.0,800mm f5.6,Prime,Super Telephoto,5.6,800.0
98,Yes,FX,20,13,"$16,299.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-800mm-f%252f5.6e-fl-ed-vr.html,6.3,18.2,161.6,800.0,800.0,5.6,5.6,32.0,32.0,800mm f5.6,Prime,Super Telephoto,5.6,800.0
